First Name,Second Name,Common Name,Date of Birth,Nationality,Club,Position,GK,TK,PS,SH,HD,PC,ST,BC,SP,Training
Stephan,El Shaarawy,,1992-10-27,Italy,AC Milan,M,16,32,87,48,68,85,80,90,67,8
Michael,Essien,,1982-12-03,Ghana,AC Milan,MC,20,66,92,48,80,84,91,83,53,2
Jesús Joaquín,Fernández Sáenz de la Torre,Suso,1993-11-19,Spain,AC Milan,M,17,32,87,55,69,85,84,82,81,9
Jérémy,Ménez,,1987-05-07,France,AC Milan,AF,18,33,45,89,80,92,85,80,65,6
Marco,Sportiello,,1992-05-10,Italy,Atalanta,GK,86,46,39,30,47,59,55,46,37,9
Lionel,Scaloni,,1978-05-16,Argentina,Atalanta,DR,18,85,44,31,82,82,87,68,48,1
Alberto,Grassi,,1995-03-07,Italy,Atalanta,MC,15,42,75,31,68,83,88,81,58,10
Giorgio,Frezzolini,,1976-01-21,Italy,Atalanta,GK,80,46,38,32,48,48,53,44,32,1
Giuseppe,Biava,,1977-05-08,Italy,Atalanta,DC,18,83,36,35,93,73,80,58,49,1
Davide,Zappacosta,,1992-06-11,Italy,Atalanta,DR,16,83,48,36,79,84,90,60,51,9
Marco,D'Alessandro,,1991-02-17,Italy,Atalanta,M,17,31,82,38,63,83,80,84,82,8
Daniele,Baselli,,1992-03-12,Italy,Atalanta,MC,16,34,80,42,73,80,86,80,68,8
Gianpaolo,Bellini,,1980-03-27,Italy,Atalanta,D,17,79,37,36,80,78,81,57,48,2
Cristian,Raimondi,,1981-04-30,Italy,Atalanta,MR,17,49,78,31,76,82,88,59,52,2
Guglielmo,Stendardo,,1981-05-06,Italy,Atalanta,DC,17,81,38,34,80,75,78,57,50,2
Guilio,Migliaccio,,1981-06-23,Italy,Atalanta,MC,18,52,79,30,88,74,89,53,46,2
Germán,Denis,,1981-09-10,Argentina,Atalanta,AS,17,32,43,83,68,82,76,69,48,2
Cristiano,Del Grosso,,1983-03-24,Italy,Atalanta,DL,17,80,42,31,78,83,83,58,52,3
Boukary,Dramé,,1985-07-22,Senegal,Atalanta,DL,18,84,50,34,90,90,85,62,45,5
Andrea,Masiello,,1986-02-05,Italy,Atalanta,DR,18,81,38,36,88,78,93,58,46,5
Urby,Emanuelson,,1986-06-16,The Netherlands,Atalanta,ML,18,48,82,40,67,94,89,81,65,5
Luca,Cigarini,,1986-06-20,Italy,Atalanta,MC,19,55,85,40,80,82,87,78,58,6
Carlos,Carmona,,1987-02-21,Chile,Atalanta,MC,17,47,81,38,74,87,84,78,74,6
Maximiliano Nicolás,Moralez,Maxi Moralez,1987-02-27,Argentina,Atalanta,MC,18,33,86,52,76,83,80,85,80,6
Yohan,Benalouane,,1987-03-28,Tunisia,Atalanta,DC,18,83,38,38,88,79,85,60,47,6
Marcelo,Estigarribia,,1987-09-21,Paraguay,Atalanta,ML,17,31,82,49,70,80,83,80,68,6
Alejandro,Gómez,,1988-02-15,Argentina,Atalanta,M,17,33,86,48,73,84,80,83,79,8
Nicolò,Barella,,1997-02-07,Italy,Cagliari,MC,15,39,73,30,70,82,83,74,48,10
Godfred,Donsah,,1996-06-07,Ghana,Cagliari,MC,16,48,82,30,83,91,89,64,47,10
Antonio,Balzano,,1986-06-13,Italy,Cagliari,DR,17,82,46,31,83,79,88,57,49,6
Werther,Carboni,,1996-04-04,Italy,Cagliari,GK,78,46,38,35,49,59,52,44,32,10
Marco,Capuano,,1991-10-14,Italy,Cagliari,DC,16,82,37,35,80,79,82,55,46,8
Nicola,Murru,,1994-12-16,Italy,Cagliari,D,16,79,37,36,82,82,80,55,46,10
Alessio,Cragno,,1994-06-28,Italy,Cagliari,GK,82,47,41,36,44,55,60,49,40,10
Mattia,Muroni,,1996-04-06,Italy,Cagliari,MC,15,31,73,36,57,80,87,73,50,9
Caio,Rangel da Silva,Caio Rangel,1996-01-16,Brazil,Cagliari,MR,16,31,79,40,66,93,80,75,48,10
João Pedro Geraldino,dos Santos Galvão,João Pedro,1992-03-09,Brazil,Cagliari,MC,17,30,85,53,70,84,84,85,80,8
Luca,Rossettini,,1985-05-09,Italy,Cagliari,DC,18,82,37,36,85,76,79,59,48,5
Francesco,Pisano,,1986-04-29,Italy,Cagliari,DR,17,80,39,34,78,85,80,64,47,6
Daniele,Dessena,,1987-05-10,Italy,Cagliari,MC,18,56,80,31,84,79,93,80,49,7
Marco,Sau,,1987-11-03,Italy,Cagliari,AF,18,32,52,86,80,83,82,77,75,7
Danilo Fernando,Avelar,Danilo Avelar,1989-06-09,Brazil,Cagliari,DL,17,83,50,38,78,84,88,62,48,7
Albin,Ekdal,,1989-07-28,Sweden,Cagliari,MC,17,31,84,56,71,84,82,79,70,7
Luca,Ceppitelli,,1989-08-11,Italy,Cagliari,DC,18,82,40,35,78,79,84,59,48,7
Simone,Colombi,,1991-07-01,Italy,Cagliari,GK,77,48,40,36,46,50,54,44,31,8
Alberto,Iglio,,1996-04-20,Italy,Cesena,GK,74,43,35,29,43,56,58,44,32,10
Luka,Krajnc,,1994-09-19,Slovenia,Cesena,DC,15,80,38,34,78,83,91,56,49,10
Luca,Valzania,,1996-03-05,Italy,Cesena,MC,16,39,73,42,68,82,88,70,48,9
José Eduardo,de Araújo,Zé Eduardo,1991-08-16,Brazil,Cesena,MC,17,30,82,52,72,90,79,85,73,9
Alejandro,Rodríguez de Miguel,Alejandro Rodríguez,1991-07-30,Spain,Cesena,AF,17,32,38,80,73,80,78,76,58,7
Franco,Brienza,,1979-03-19,Italy,Cesena,AF,16,34,37,84,68,75,74,82,49,1
Stefano,Lucchini,,1980-10-02,Italy,Cesena,DC,18,79,35,34,84,76,78,56,47,2
Walter,Bressan,,1981-01-26,Italy,Cesena,GK,74,46,39,34,48,49,43,40,33,2
Gabriel,Mudingayi,Gaby Mudingayi,1981-10-01,Belgium,Cesena,MC,18,58,83,35,88,93,80,65,48,2
Davide,Succi,,1981-10-11,Italy,Cesena,AS,17,35,38,76,72,83,80,69,47,2
Federico,Agliardi,,1983-02-11,Italy,Cesena,GK,82,45,38,34,49,54,52,46,33,3
Giuseppe,De Feudis,,1983-07-10,Italy,Cesena,MC,17,48,83,32,73,80,78,70,47,4
Emmanuel,Cascoine,,1983-09-22,Italy,Cesena,MC,18,48,82,51,79,82,77,73,50,5
Gabriele,Perico,,1984-03-11,Italy,Cesena,DR,17,83,43,32,80,85,83,66,46,5
Francesco,Renzetti,,1988-01-22,Italy,Cesena,DL,18,84,45,33,84,78,85,64,49,7
Andrea,Tabanelli,,1990-02-02,Italy,Cesena,MC,17,30,76,42,69,80,82,79,58,8
Milan,Đurić,,1990-05-22,Bosnia,Cesena,AS,16,33,36,77,70,82,80,72,67,8
Grégoire,Defrel,,1991-06-17,France,Cesena,AF,16,31,48,80,68,92,82,78,63,10
Albano,Bizzarri,,1977-11-09,Argentina,Chievo,GK,84,48,40,35,49,53,55,46,34,1
Armando,Vajushi,,1991-12-03,Albania,Chievo,M,15,31,79,45,68,85,80,83,76,9
Nicola,Bellomo,,1991-02-18,Italy,Chievo,MC,16,32,81,46,72,83,82,82,67,9
Gennaro,Sardo,,1979-05-08,Italy,Chievo,DR,17,77,38,32,76,86,77,58,47,1
Dario,Dainelli,,1979-06-09,Italy,Chievo,DC,18,80,37,35,83,79,77,58,46,1
Christian,Puggioni,,1981-01-17,Italy,Chievo,GK,75,47,38,35,47,56,49,46,34,2
Alessandro,Gamberini,,1981-08-27,Italy,Chievo,DC,17,79,36,36,88,79,79,60,49,2
Boštjan,Cesar,,1982-07-09,Slovenia,Chievo,DC,16,78,35,31,88,77,81,59,50,3
Mariano,Izco,,1983-03-13,Argentina,Chievo,MC,17,48,83,35,72,80,88,70,49,4
Alessio,Sestu,,1983-09-29,Italy,Chievo,MR,19,35,84,48,69,80,85,89,83,4
Nicolas,Frey,,1984-03-06,France,Chievo,DR,17,80,47,34,77,78,92,58,46,5
Simone,Bentivoglio,,1985-05-29,Italy,Chievo,MC,17,30,75,46,73,84,78,77,56,5
Riccardo,Meggiorini,,1985-09-04,Italy,Chievo,AF,18,32,39,78,80,76,86,69,48,5
Edimar,Curitiba Fraga,Edimar,1986-05-21,Brazil,Chievo,DL,17,80,39,36,74,80,78,64,49,6
Nicola,Pozzi,,1986-08-30,Italy,Chievo,AS,16,32,36,75,78,75,82,68,53,6
Përparim,Hetemaj,,1986-12-12,Finland,Chievo,MC,17,34,77,49,77,82,76,64,49,6
Thomas,Mangani,,1987-04-29,France,Chievo,MC,18,54,79,35,80,83,77,66,48,7
Ivan,Radovanović,,1988-08-29,Serbia,Chievo,MC,17,55,80,36,82,76,89,74,57,7
Tomasz,Kupisz,,1990-01-02,Poland,Chievo,M,18,34,82,40,74,84,90,84,78,9
Alberto,Paloschi,,1990-01-04,Italy,Chievo,AS,19,32,38,84,75,82,89,70,48,8
Dejan,Lazarević,,1990-02-15,Slovenia,Chievo,ML,17,31,81,43,70,87,78,75,75,8
Anders,Christiansen,,1990-06-08,Denmark,Chievo,MC,18,46,79,47,77,83,80,78,64,7
Sergio,Pellissier,,1979-04-12,Italy,Chievo,AS,18,33,40,83,82,74,84,67,53,1
Andrea,Seculin,,1990-07-14,Italy,Chievo,GK,76,47,40,36,46,52,53,44,32,7
Alessandro,Sbaffo,,1990-08-02,Italy,Chievo,MC,17,30,78,39,68,83,78,84,77,8
Mário Rui,Silva Duarte,Mário Rui,1991-05-27,Portugal,Empoli,DL,17,85,46,31,64,82,83,62,50,8
Elseid,Hysaj,,1994-02-20,Albania,Empoli,DR,16,84,37,33,68,82,88,58,47,9
Maurizio,Pugliesi,,1976-12-27,Italy,Empoli,GK,79,47,38,34,46,49,57,45,32,1
Federico,Barba,,1993-09-01,Italy,Empoli,DC,16,80,37,35,78,86,80,56,45,9
Ludovico,Gargiulo,,1995-03-23,Italy,Empoli,MC,16,32,72,37,58,82,80,75,49,10
Manuel,Pucciarelli,,1991-06-17,Italy,Empoli,AF,16,30,85,57,66,83,82,88,80,9
Massimo,Maccarone,,1979-09-06,Italy,Empoli,AS,18,32,38,85,88,78,80,71,52,1
Francesco,Tavano,,1979-03-02,Italy,Empoli,AS,17,30,40,80,74,82,78,70,52,1
Daniele,Croce,,1982-09-09,Italy,Empoli,MC,17,37,78,34,75,80,80,73,68,3
Davide,Bassi,,1985-04-12,Italy,Empoli,GK,80,48,42,35,46,53,50,46,34,4
Tiberio,Guarente,,1985-11-01,Italy,Empoli,MC,17,49,79,32,74,80,91,68,65,6
Mirko,Valdifiori,,1986-04-21,Italy,Empoli,MC,18,57,82,34,70,83,83,85,77,6
Luca,Martinelli,,1988-12-20,Italy,Empoli,D,17,78,35,35,72,80,84,56,47,7
Vincent,Laurini,,1989-06-10,France,Empoli,DR,17,81,37,36,74,85,79,58,50,7
Lorenzo,Tonelli,,1990-01-17,Italy,Empoli,DC,16,84,38,37,86,82,87,63,50,8
Levan,Mchedlidze,,1990-03-24,Georgia,Empoli,AS,16,31,33,78,72,80,85,68,47,8
Franco,Signorelli,,1991-01-01,Venezuela,Empoli,MC,16,55,80,34,70,82,80,84,78,8
Cristiano,Lupatelli,,1978-06-21,Italy,Fiorentina,GK,88,47,39,30,48,52,50,47,33,1
Antonio,Rosati,,1983-06-26,Italy,Fiorentina,GK,80,47,39,30,47,53,54,46,38,2
Stefan,Savić,,1991-01-08,Montenegro,Fiorentina,DC,17,86,42,30,83,84,88,62,48,8
Nenad,Tomović,,1987-08-30,Serbia,Fiorentina,D,18,83,39,31,87,80,88,57,48,6
Norberto,Murara Neto,Neto,1989-07-19,Brazil,Fiorentina,GK,89,48,42,31,47,52,55,46,34,7
Marcos,Alonso Mendoza,Marcos Alonso,1990-12-28,Spain,Fiorentina,DL,18,85,43,31,84,84,87,60,52,7
José María,Basanta Pavone,José María Basanta,1984-04-03,Argentina,Fiorentina,DC,17,85,38,32,86,79,82,55,48,4
Gonzalo Javier,Rodríguez Prado,Gonzalo Rodríguez,1984-04-10,Argentina,Fiorentina,DC,18,86,39,32,90,79,84,58,46,3
Manuel,Pasqual,,1982-03-13,Italy,Fiorentina,DL,18,85,40,32,83,80,82,57,47,3
Milan,Badelj,,1989-02-25,Croatia,Fiorentina,MC,18,59,84,32,87,80,84,71,50,7
Ciprian,Tătărușanu,,1986-02-09,Romania,Fiorentina,GK,84,48,40,35,48,50,51,46,35,6
David,Pizarro,,1979-09-11,Chile,Fiorentina,MC,19,58,90,37,87,82,90,84,80,2
Federico,Bernardeschi,,1994-02-16,Italy,Fiorentina,M,16,30,82,44,66,83,82,85,80,9
Alberto,Aquilani,,1984-07-07,Italy,Fiorentina,MC,19,55,88,48,68,79,85,84,67,4
Borja,Valero Iglesias,Borja Valero,1985-01-12,Spain,Fiorentina,MC,20,61,88,49,85,78,89,80,70,4
Juan Manuel,Vargas,,1983-10-05,Peru,Fiorentina,ML,18,47,87,53,69,90,86,89,83,4
Juan Guillermo,Cuadrado Bello,Juan Cuadrado,1988-05-26,Colombia,Fiorentina,M,19,32,91,53,76,93,88,90,73,7
Andrea,Lazzari,,1984-12-03,Italy,Fiorentina,MC,18,30,84,57,76,82,83,84,80,5
Josip,Iličić,,1988-01-29,Slovenia,Fiorentina,MC,18,32,84,59,68,82,83,82,79,6
Joaquín,Sánchez Rodríguez,Joaquín,1981-07-21,Spain,Fiorentina,MR,18,37,88,62,75,89,80,92,76,3
Matías Ariel,Fernández Fernández,Matí Fernández,1986-05-15,Chile,Fiorentina,MC,18,32,85,64,75,87,82,84,76,6
Khouma El Hadji,Babacar,Khouma Babacar,1993-03-17,Senegal,Fiorentina,AF,17,31,55,82,74,92,86,82,58,8
Mounir,El Hamdaoui,,1984-07-14,Morocco,Fiorentina,AF,17,31,43,84,82,86,80,81,69,5
Giuseppe,Rossi,,1987-02-01,Italy,Fiorentina,AS,18,34,57,87,83,87,82,82,78,6
Mario,Gómez García,Mario Gómez,1985-07-10,Germany,Fiorentina,AS,20,32,38,91,92,75,84,78,56,3
Mario,Sampirisi,,1992-10-31,Italy,Genoa,DR,15,78,43,30,67,83,86,59,50,9
Mattia,Perin,,1992-11-10,Italy,Genoa,GK,82,47,42,31,49,59,50,46,35,9
Luca,Antonini,,1982-08-04,Italy,Genoa,DL,17,84,37,33,61,80,92,58,47,3
Giovanni,Marchese,,1984-10-17,Italy,Genoa,DC,17,85,36,33,85,77,82,57,50,5
Eugenio,Lamanna,,1989-08-07,Italy,Genoa,GK,84,47,40,33,46,57,52,48,32,7
Tomás Eduardo,Rincón Hernández,Tomás Rincón,1988-01-13,Venezuela,Genoa,MC,17,49,83,34,70,85,83,82,77,7
Alassane,També,,1992-01-26,France,Genoa,DR,16,79,39,35,73,94,85,58,47,9
Nicolás Andrés,Burdisso,Nicolás Burdisso,1981-04-12,Argentina,Genoa,DC,19,86,41,35,90,78,83,61,50,2
Sebastian,De Maio,,1987-05-03,Italy,Genoa,DC,18,84,37,35,94,78,82,58,49,6
Armando,Izzo,,1992-03-02,Italy,Genoa,DC,16,82,38,36,83,80,86,57,49,8
Rolando,Mandragora,,1997-06-29,Italy,Genoa,MC,15,32,74,36,65,82,84,82,70,10
Diego,Laxalt,,1993-02-07,Uruguay,Genoa,ML,16,33,80,56,69,90,86,83,76,9
Juraj,Kucka,,1987-02-26,Slovakia,Genoa,ML,17,30,84,56,68,82,83,78,66,6
Diego,Perotti,,1988-07-26,Argentina,Genoa,ML,17,35,86,58,65,82,86,80,58,6
Andrea,Bertolacci,,1991-01-11,Italy,Genoa,MC,16,31,83,59,70,82,90,88,83,9
Iago,Falque,,1990-01-04,Spain,Genoa,MR,18,31,87,63,77,85,83,92,84,8
Marco,Borriello,,1982-06-18,Italy,Genoa,AS,18,34,37,85,79,83,82,72,52,3
Tommaso,Berni,,1983-03-06,Italy,Inter Milan,GK,79,46,38,30,47,53,57,46,33,3
Nemanja,Vidić,,1981-10-21,Serbia,Inter Milan,DC,20,92,40,30,93,78,84,61,48,1
Danilo,D'Ambrosio,,1988-09-09,Italy,Inter Milan,DR,17,86,43,30,78,83,82,59,47,7
Juan Guilherme,Nunes Jesus,Juan Jesus,1991-06-10,Brazil,Inter Milan,DC,18,88,40,31,79,88,92,60,49,7
Jonathan,Cícero Moreira,Jonathan,1986-02-27,Brazil,Inter Milan,DR,17,84,42,31,76,87,90,61,49,5
Andrea,Ranocchia,,1988-02-16,Italy,Inter Milan,DC,17,86,37,34,95,79,82,55,46,7
Felipe,Dias da Silva dal Belo,Felipe,1984-07-31,Brazil,Inter Milan,DC,17,85,38,34,79,83,80,60,47,5
Gary,Medel,,1987-08-03,Chile,Inter Milan,MC,18,56,90,35,90,83,88,82,52,6
Hugo,Campagnaro,,1980-06-27,Argentina,Inter Milan,DC,18,85,38,36,89,77,80,56,48,2
Samir,Handanović,,1984-07-14,Slovenia,Inter Milan,GK,92,48,42,36,50,58,53,45,32,4
Marco,Andreolli,,1986-06-10,Italy,Inter Milan,DC,17,87,37,37,83,80,91,58,49,6
Juan Pablo,Carrizo,,1984-05-06,Argentina,Inter Milan,GK,82,46,40,37,50,57,53,46,33,4
Yuto,Nagatomo,,1986-09-12,Japan,Inter Milan,DL,18,85,46,38,67,88,93,65,52,6
Joel,Obi,,1991-05-22,Nigeria,Inter Milan,M,17,37,83,40,68,90,88,82,66,8
Zdravko,Kuzmanović,,1987-09-22,Serbia,Inter Milan,MC,18,43,85,40,77,83,82,80,59,7
Fredy,Guarín,,1986-06-30,Colombia,Inter Milan,MC,18,49,89,42,70,91,94,82,57,6
Anderson,Hernanes de Carvalho Viana Lima,Hernanes,1985-05-29,Brazil,Inter Milan,MC,19,48,90,47,72,84,89,79,64,5
Mateo,Kovačić,,1994-05-06,Croatia,Inter Milan,MC,17,33,90,54,73,86,83,88,74,9
Xherdan,Shaqiri,,1991-10-10,Switzerland,Inter Milan,M,17,32,92,63,74,85,83,90,78,8
George,Pușcaș,,1996-04-08,Romania,Inter Milan,AF,15,32,43,78,67,83,82,72,49,10
Rodrigo Sebastián,Palacio Alcaide,Rodrigo Palacio,1982-02-05,Argentina,Inter Milan,AF,18,32,46,90,78,80,80,82,68,3
Mauro,Icardi,,1993-02-19,Argentina,Inter Milan,AS,18,34,48,91,79,86,87,79,56,9
Marco,Storari,,1977-01-07,Italy,Juventus,GK,84,50,43,30,48,51,46,42,38,1
Angelo,Ogbonna,,1988-05-23,Italy,Juventus,DC,19,85,43,30,79,90,86,57,48,5
Stephan,Lichtsteiner,,1984-01-16,Switzerland,Juventus,DR,19,88,44,30,88,81,85,58,47,4
Andrea,Barzagli,,1981-05-08,Italy,Juventus,DC,18,85,41,31,83,80,82,59,49,2
Gianluigi,Buffon,,1978-01-28,Italy,Juventus,GK,96,49,39,32,50,49,56,48,37,1
Leonardo,Bonucci,,1987-05-01,Italy,Juventus,DC,18,87,39,32,90,78,83,58,48,6
Rubens Fernando,Moedim ,Rubinho,1982-08-04,Brazil,Juventus,GK,81,47,41,32,43,49,52,46,38,1
Patrice,Evra,,1981-05-15,France,Juventus,DL,19,91,48,32,87,90,86,58,46,2
Luca,Marrone,,1990-03-28,Italy,Juventus,DC,18,83,48,32,82,83,82,56,48,6
José Martín,Cáceres Silva,Martín Cáceres,1987-04-07,Uruguay,Juventus,D,18,90,40,33,85,80,83,57,48,6
Giorgio,Chiellini,,1984-08-14,Italy,Juventus,DC,19,88,40,34,95,79,82,59,50,5
Paolo,De Ceglie,,1986-09-17,Italy,Juventus,DL,18,50,84,37,76,84,90,82,50,5
Kwadwo,Asamoah,,1988-12-09,Ghana,Juventus,ML,18,49,85,38,70,92,94,79,51,6
Simone,Padoin,,1984-03-18,Italy,Juventus,M,18,32,86,38,77,81,83,78,53,4
Stefano,Sturaro,,1993-03-09,Italy,Juventus,MC,17,48,83,43,80,84,86,72,49,9
Claudio,Marchisio,,1986-01-19,Italy,Juventus,MC,19,47,87,44,82,80,88,56,47,5
Kingsley,Coman,,1996-06-13,France,Juventus,M,17,31,83,45,68,92,80,84,59,10
Arturo,Vidal,,1987-05-22,Chile,Juventus,MC,19,53,92,49,87,86,92,80,68,6
Andrea,Pirlo,,1979-05-19,Italy,Juventus,MC,20,48,98,52,80,73,87,96,97,1
Paul,Pogba,,1993-03-15,France,Juventus,MC,19,48,94,58,80,90,93,82,73,10
Fernando,Llorente,,1985-02-26,Spain,Juventus,AS,18,32,38,90,92,77,82,79,54,4
Álvaro,Morata,,1992-10-23,Spain,Juventus,AS,19,33,44,91,88,87,85,84,65,8
Carlos Alberto,Martínez Tevez,Carlos Tevez,1984-02-05,Argentina,Juventus,AF,20,36,58,97,92,89,92,92,86,4
Etrit,Berisha,,1989-03-10,Albania,Lazio,GK,83,46,39,30,47,57,49,45,34,6
Abdoulay,Konko,,1984-03-09,France,Lazio,DR,18,82,39,30,70,88,92,62,52,4
Lorik,Cana,,1983-07-27,Albania,Lazio,DC,18,84,46,32,82,80,82,59,50,3
Dušan,Basta,,1984-08-18,Serbia,Lazio,DR,17,82,46,32,80,84,87,63,50,4
Stefan,de Vrij,,1992-02-05,The Netherlands,Lazio,DC,17,86,38,33,92,83,82,62,50,8
Luis Pedro,Cavanda,,1991-01-02,Angola,Lazio,DR,16,82,42,33,83,93,88,58,50,8
Ogenyi,Onazi,,1992-12-25,Nigeria,Lazio,MC,16,52,84,33,70,87,83,82,58,9
Edson,Braafheid,,1983-04-08,The Netherlands,Lazio,DL,17,84,36,33,78,90,84,58,49,3
Federico,Marchetti,,1983-02-07,Italy,Lazio,GK,85,48,39,34,45,54,52,48,32,4
Cristian,Ledesma,,1982-09-24,Italy,Lazio,MC,18,58,87,35,84,78,87,69,54,2
Bruno Alexandre,Marques Pereirinha,Bruno Pereirinha,1988-03-02,Portugal,Lazio,DR,18,81,46,36,75,82,91,61,47,6
Santiago,Gentiletti,,1985-01-09,Argentina,Lazio,DC,17,83,38,36,85,79,80,59,46,4
Michaël,Ciani,,1984-04-06,France,Lazio,DC,18,82,38,37,77,85,88,60,48,4
Diego,Novaretti,,1985-05-09,Argentina,Lazio,DC,17,82,39,37,79,83,80,58,52,5
Ștefan,Radu,,1986-10-22,Romania,Lazio,DL,18,84,40,37,79,80,84,60,50,6
Danilo,Cataldi,,1994-08-06,Italy,Lazio,MC,16,38,84,40,69,82,80,85,75,9
Lucas,Biglia,,1986-01-30,Argentina,Lazio,MC,19,52,86,40,89,82,88,77,56,6
Senad,Lulić,,1986-01-18,Bosnia,Lazio,ML,17,47,87,42,70,87,85,83,80,6
Marco,Parola,,1985-01-25,Italy,Lazio,MC,18,39,86,43,75,82,84,85,73,5
Keite,Baldé Diao,Keita,1995-03-08,Spain,Lazio,M,17,31,85,46,72,92,84,80,60,10
Felipe Anderson,Pereira Gomes,Felipe Anderson,1993-04-15,Brazil,Lazio,M,17,35,88,47,70,84,82,91,84,9
Ederson,Honorato Campos,Ederson,1986-01-13,Brazil,Lazio,MC,18,44,85,53,68,88,79,84,82,6
Stefano,Mauri,,1980-01-08,Italy,Lazio,MC,18,33,85,56,68,80,82,88,85,1
Antonio,Candreva,,1987-02-28,Italy,Lazio,MR,19,34,90,58,68,85,83,92,84,6
Brayan,Perea,,1993-02-25,Colombia,Lazio,AS,16,33,40,83,77,90,82,78,50,9
Filip,Đorđević,,1987-09-28,Serbia,Lazio,AS,18,32,37,85,85,80,91,78,65,7
Miroslav,Klose,,1978-06-09,Germany,Lazio,AS,20,30,37,92,95,75,84,73,58,1
Rafael,Cabral,Rafael,1990-05-20,Brazil,Napoli,GK,87,48,39,31,48,59,58,45,34,8
Miguel,Britos,,1985-07-17,Uruguay,Napoli,DC,18,84,40,31,79,82,80,60,51,6
Raúl,Albiol Tortajada,Raúl Albiol,1985-09-04,Spain,Napoli,DC,19,89,42,31,90,82,83,63,48,5
Kalidou,Koulibaly,,1991-06-20,France,Napoli,DC,17,83,44,31,81,94,96,56,46,8
Henrique Adriano,Buss,Henrique,1986-10-14,Brazil,Napoli,DC,18,86,46,31,85,81,88,60,48,5
Juan Camilo,Zúñiga Mosquera,Camilo Zúñiga,1985-12-14,Colombia,Napoli,DR,17,85,47,31,80,90,92,60,46,5
David,López Silva,David López,1989-10-09,Spain,Napoli,MC,18,48,86,31,79,85,87,80,63,6
Bruno,Uvini Bortolança,Bruno Uvini,1991-06-03,Brazil,Napoli,DC,16,80,38,32,76,83,82,58,48,8
Ivan,Strinić,,1987-07-17,Croatia,Napoli,DL,18,84,42,32,81,83,84,57,45,6
Walter,Gargano,,1984-07-23,Uruguay,Napoli,MC,18,58,87,33,82,80,85,68,47,5
Roberto,Colombo,,1975-08-24,Italy,Napoli,GK,82,47,41,34,47,50,52,45,32,1
Gökhan,Inler,,1984-06-27,Switzerland,Napoli,MC,17,65,88,34,89,90,88,76,48,5
Giandomenico,Mesto,,1982-05-25,Italy,Napoli,DR,17,82,38,35,82,77,85,57,48,3
Mariano Gonzalo,Andújar,Mariano Andújar,1983-07-30,Argentina,Napoli,GK,86,46,38,35,47,57,53,43,31,3
Christian,Maggio,,1982-02-11,Italy,Napoli,DR,18,87,42,36,90,81,92,58,47,2
Faouzi,Ghoulam,,1991-02-01,Algeria,Napoli,DL,16,82,47,38,67,88,94,60,48,8
Jorge Luiz,Frello Filho,Jorginho,1991-12-20,Brazil,Napoli,MC,17,44,84,40,80,85,90,84,66,8
Eduardo,Vargas,,1989-11-20,Chile,Napoli,MR,18,32,84,58,70,85,88,82,64,7
Dries,Mertens,,1987-05-06,Belgium,Napoli,M,19,30,93,58,76,90,84,89,80,6
Jonathan,de Guzmán,,1987-09-13,The Netherlands,Napoli,MC,18,33,87,60,72,92,86,83,81,6
